siteId,gaiaId,regionName,propertyId,hotelName,hotelDesc,rating,address,imageURL
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",3907292,APA Hotel Hiroshima-Ekimae,"APA Hotel Hiroshima-Ekimae puts you 1.4 mi (2.2 km) from Atomic Bomb Dome. Guests can indulge in massages, and モーニングファーム＋（プラス） serves breakfast, lunch, and dinner. Public transportation is just a short walk: Matoba-cho Station is 6 minutes and Inari-machi Station is 8 minutes.   ",7.2/10 Good,"10-11,Matsubara-cho,Minami-ku, Hiroshima-city, Hiroshima, Hiroshima-ken, 732-0822",https://images.trvl-media.com/lodging/4000000/3910000/3907300/3907292/fab00d5a.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",178455,Hiroshima Tokyu REI Hotel,Hiroshima Tokyu REI Hotel puts you 0.8 mi (1.3 km) from Atomic Bomb Dome. Free perks include WiFi and wired Internet. Fellow travelers like the overall property condition. The property is just a short walk to public transportation: Hatchobori Station is 8 minutes and Ebisu-cho Station is 8 minutes.   ,8.6/10 Excellent,"10-1 Mikawa-cho Naka-ku, Hiroshima, Hiroshima-ken, 730-0029",https://images.trvl-media.com/lodging/1000000/180000/178500/178455/0ff6e5d8.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",35237542,Nest Hotel Hiroshima Hatchobori,Nest Hotel Hiroshima Hatchobori puts you 0.8 mi (1.3 km) from Atomic Bomb Dome. Fellow travelers say good things about the helpful staff and overall property condition. The property is just a short walk to public transportation: Ebisu-cho Station is steps away and Hatchobori Station is 2 minutes.   ,8.8/10 Excellent,"13-12 Noboricho, Hiroshima, Hiroshima, 730-0016",https://images.trvl-media.com/lodging/36000000/35240000/35237600/35237542/28012888.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",75876222,Dormy Inn Hiroshima Annex,Dormy Inn Hiroshima Annex puts you 1 mi (1.7 km) from Atomic Bomb Dome. Guests can be pampered with massages at the spa. Public transportation is just a short walk: Kanayama-cho Station is 9 minutes and Hijiyama-shita Station is 9 minutes.   ,9.2/10 Wonderful,"5-9 Tanakamachi Naka Ward, Hiroshima, Hiroshima, 730-0026",https://images.trvl-media.com/lodging/76000000/75880000/75876300/75876222/e53cbc2c.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",1568501,Comfort Hotel Hiroshima Otemachi,Comfort Hotel Hiroshima Otemachi puts you 0.7 mi (1.1 km) from Atomic Bomb Dome. Free perks include WiFi and buffet breakfast daily between 6:30 AM and 9:30 AM. Fellow travelers like the breakfast. The property is just a short walk to public transportation: Chuden-mae Station is steps away and Shiyakusho-mae Station is 2 minutes.   ,8.2/10 Very Good,"3-7-9 Ote-machi, Naka-ku, Hiroshima, Hiroshima-ken, 730-0051",https://images.trvl-media.com/lodging/2000000/1570000/1568600/1568501/6d0e4086.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",53412306,HOTEL LiVEMAX Hiroshima Heiwa Koen-Mae,HOTEL LiVEMAX Hiroshima Heiwa Koen-Mae puts you 0.4 mi (0.6 km) from Atomic Bomb Dome. Public transportation is just a short walk: Fukuro-machi Station is 3 minutes and Chuden-mae Station is 4 minutes.   ,7.4/10 Good,"2-10-23, Otemachi, Naka Ward, Hiroshima, Hiroshima, 730-0051",https://images.trvl-media.com/lodging/54000000/53420000/53412400/53412306/92e2f7af.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",12526724,Hotel Miyahira,"Hotel Miyahira puts you 0.1 mi (0.2 km) from Ishigaki Port. Guests can indulge in Thai massages or reflexology, and Treadoll, one of 4 restaurants, serves breakfast, lunch, and dinner. An outdoor pool, a seasonal outdoor pool, and a terrace are other highlights. Fellow travelers like the overall property condition.   ",8.4/10 Very Good,"4-9, Misaki-cho, Ishigaki, Okinawa, 9070012",https://images.trvl-media.com/lodging/13000000/12530000/12526800/12526724/152abc8f.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",47085735,Comfort Hotel Ishigaki Island,"Comfort Hotel Ishigaki Island puts you 2.3 mi (3.6 km) from Ishigaki Port. Free perks include WiFi, self parking, and buffet breakfast daily between 6:00 AM and 9:30 AM.   ",8.6/10 Excellent,"340 Maezato, Ishigaki, Okinawa, 9070002",https://images.trvl-media.com/lodging/48000000/47090000/47085800/47085735/257355ef.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",83034672,Mr.KINJO GRAND CATS,Mr.KINJO GRAND CATS puts you 0.5 mi (0.8 km) from Ishigaki Port. Apartments feature kitchenettes and free WiFi.   ,8.4/10 Very Good,"2-chome-3-39 Hamasakicho, Ishigaki, Okinawa, 907-0013",https://images.trvl-media.com/lodging/84000000/83040000/83034700/83034672/0d57a041.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",17369758,Toyoko Inn Okinawa Ishigaki jima,"Toyoko Inn Okinawa Ishigaki jima puts you 0.5 mi (0.9 km) from Ishigaki Port. Free perks include WiFi, self parking, and buffet breakfast daily between 6:30 AM and 9:00 AM. Fellow travelers like the overall property condition.   ",7.8/10 Good,"3-2-12 Hamasaki-cho, Ishigaki, Okinawa, 907-0013",https://images.trvl-media.com/lodging/18000000/17370000/17369800/17369758/721f0c9d.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",9787963,Hotel East China Sea,"Hotel East China Sea puts you 0.3 mi (0.5 km) from Ishigaki Port. Guests indulge in massages, then grab a bite to eat at the restaurant. Free bike rentals, a terrace, and a garden are other highlights. Fellow travelers say good things about the breakfast.   ",8.0/10 Very Good,"2-8 Misakicho, Ishigaki, Okinawa-ken, 9070012",https://images.trvl-media.com/lodging/10000000/9790000/9788000/9787963/6648d93b.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",16082138,Aleyzd Bale Ishigaki,"When visiting Ishigaki, Aleyzd Bale Ishigaki is a great choice to consider. The restaurant is the perfect spot for a bite to eat, and after having fun at the outdoor pool, you can unwind with a drink at the bar/lounge. Other highlights include a terrace and a garden.   ",9.4/10 Exceptional,"337-250 Fukai, Ishigaki, 9070451",https://images.trvl-media.com/lodging/17000000/16090000/16082200/16082138/87703c78.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan",23478301,Nata Beach Villa,"When visiting Ishigaki, Nata Beach Villa is a great choice to consider. Guests looking for a bite to eat can check out the restaurant, and the bar/lounge is the perfect spot to grab a drink at the end of the day. A terrace and a garden are other highlights. Fellow travelers like the overall property condition.   ",9.2/10 Wonderful,"2-391 Ibaruma, Ishigaki, Okinawa, 907-0332",https://images.trvl-media.com/lodging/24000000/23480000/23478400/23478301/c85d81eb.jpg?impolicy=resizecrop&rw=1200&ra=fit
