906062,JEN Singapore Orchardgateway by Shangri-La,"JEN Singapore Orchardgateway by Shangri-La features a rooftop terrace and puts you within a 5-minute walk of Orchard Road. The outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at Makan at Jen, which serves international cuisine and is open for breakfast, lunch, and dinner. Other highlights at this upscale hotel include 2 bars/lounges, a poolside bar, and a 24-hour health club. Public transportation is just a short walk: Somerset Station is steps away and Dhoby Ghaut Station is 10 minutes.   ",9.0/10 Superb,"277 Orchard Road, Singapore, 238858",https://images.trvl-media.com/lodging/1000000/910000/906100/906062/c0450145.jpg?impolicy=resizecrop&rw=500&ra=fit
906145,Amara Singapore,"At Amara Singapore, you'll be just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Sands Skypark. Guests can take a dip in the outdoor pool or grab a bite to eat at Element, which is one of 5 restaurants and serves breakfast, lunch, and dinner. Other highlights at this luxurious hotel include a bar/lounge, a fitness center, and a snack bar/deli. The property is just a short walk to public transportation: Tanjong Pagar Station is 5 minutes and Maxwell Station is 9 minutes.   ",8.0/10 Very Good,"165 Tanjong Pagar Road, Singapore, 088539",https://images.trvl-media.com/lodging/1000000/910000/906200/906145/ae7ef166.jpg?impolicy=resizecrop&rw=500&ra=fit
915822,Fraser Suites Singapore,"When you stay at Fraser Suites Singapore, you'll be within a 10-minute drive of Orchard Road and Marina Bay Sands Casino. Guests can take a dip in the outdoor pool or grab a bite to eat at The Dining Room, which serves breakfast and lunch. A 24-hour fitness center and a fitness center are other highlights, and apartments offer conveniences like kitchens and washers/dryers. Public transportation is just a short walk: Great World Station is 12 minutes and Tiong Bahru Station is 12 minutes.   ",9.4/10 Exceptional,"491A River Valley Road, Singapore, 248372",https://images.trvl-media.com/lodging/1000000/920000/915900/915822/0e46ed4c.jpg?impolicy=resizecrop&rw=500&ra=fit
915823,"Fraser Place Robertson Walk, Singapore","When you stay at Fraser Place Robertson Walk, Singapore, you'll be just a 5-minute drive from Orchard Road and Marina Bay Sands Casino. Guests can take a dip in the outdoor pool or grab a bite to eat at The Hub, which serves breakfast. A 24-hour fitness center and a fitness center are other highlights, and apartments offer conveniences like kitchens and washers/dryers. Fellow travelers love the room service. The property is just a short walk to public transportation: Fort Canning MRT station is 7 minutes and Clarke Quay Station is 12 minutes.   ",9.0/10 Superb,"11 Unity Street, Singapore, 237995",https://images.trvl-media.com/lodging/1000000/920000/915900/915823/6a248f62.jpg?impolicy=resizecrop&rw=500&ra=fit
971952,Hotel 1929,"At Hotel 1929, you'll be just a 5-minute drive from Marina Bay Sands Casino and Bugis Street Shopping District. You can unwind with a drink at the bar/lounge, and the restaurant is the perfect spot to grab a bite to eat. This boutique hotel is also just a 5-minute drive from Marina Bay Sands Skypark and Gardens by the Bay. Public transportation is just a short walk: Maxwell Station is 5 minutes and Chinatown Station is 6 minutes.   ",7.0/10 Good,"50 Keong Saik Road, Singapore, 089154",https://images.trvl-media.com/lodging/1000000/980000/972000/971952/b7f1ece0.jpg?impolicy=resizecrop&rw=500&ra=fit
1074665,Asphodel Inn Singapore,"Asphodel Inn Singapore puts you just a 5-minute drive from Orchard Road and Bugis Street Shopping District. Guests will have free perks like WiFi and self parking. Also, Gardens by the Bay and Marina Bay Street Circuit are just a 5-minute drive away. Public transportation is just a short walk: Farrer Park Station is 6 minutes and Boon Keng Station is 10 minutes.   ",6.0/10 Good,"380 Race Course Road, Singapore, 218702",https://images.trvl-media.com/lodging/2000000/1080000/1074700/1074665/f3167c97.jpg?impolicy=resizecrop&rw=500&ra=fit
1078908,Aliwal Park Hotel,"Aliwal Park Hotel puts you just a 5-minute drive from Marina Bay Sands Casino and Bugis Street Shopping District. Also, Gardens by the Bay and Marina Bay Street Circuit are just a 5-minute drive away. Public transportation is just a short walk: Lavender Station is 7 minutes and Bugis Station is 8 minutes.   ",,"77/79 Aliwal Street, Singapore, 199948",https://images.trvl-media.com/lodging/2000000/1080000/1079000/1078908/c791e7b4.jpg?impolicy=resizecrop&rw=500&ra=fit
1181906,Harbour Ville Hotel,"Putting you within a 10-minute drive of Marina Bay Sands Casino and Universal Studios Singapore, Harbour Ville Hotel offers an airport shuttle (available 24 hours) for SGD 80 per vehicle. Freebies like WiFi and self parking are added perks, and guests looking to stay active can check out the nearby hiking/biking trails. Also, Orchard Road and Bugis Street Shopping District are within a short drive. Fellow travelers say good things about the overall property condition. Public transportation is close by: Keppel Station is just 11 minutes by foot.   ",6.6/10 Good,"512 Kampong Bahru Road, Singapore, 099448",https://images.trvl-media.com/lodging/2000000/1190000/1182000/1181906/470b0d4a.jpg?impolicy=resizecrop&rw=500&ra=fit
1531027,Hotel Royal @ Queens,"Hotel Royal @ Queens puts you just a 5-minute drive from Marina Bay Sands Casino and Orchard Road. The outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at Queens Brasserie, which serves Asian cuisine and is open for breakfast, lunch, and dinner. A fitness center and a bar/lounge are other highlights. Public transportation is just a short walk: Bras Basah Station is 3 minutes and Bencoolen Station is 5 minutes.   ",7.6/10 Good,"No. 12 Queen Street, Singapore, 188553",https://images.trvl-media.com/lodging/2000000/1540000/1531100/1531027/9e17fa98.jpg?impolicy=resizecrop&rw=500&ra=fit
1675926,Adina Serviced Apartments Singapore Orchard,"Putting you just a 5-minute drive from Orchard Road and Marina Bay Sands Casino, Adina Serviced Apartments Singapore Orchard offers an airport shuttle (available 24 hours) for SGD 100 per vehicle. Guests can splash around at the outdoor pool or indoor pool, and the sauna makes for a relaxing end to the day. A fitness center and a children's pool are other highlights, and apartments offer conveniences like kitchenettes and washers/dryers. Public transportation is just a short walk: Somerset Station is 5 minutes and Dhoby Ghaut Station is 6 minutes.   ",9.2/10 Superb,"121 Penang Rd, Singapore, 238464",https://images.trvl-media.com/lodging/2000000/1680000/1676000/1675926/6f9b228f.jpg?impolicy=resizecrop&rw=500&ra=fit
1871226,Amara Sanctuary Resort Sentosa,"Amara Sanctuary Resort Sentosa is a great choice for your beach stay in Singapore. 3 outdoor pools provide plenty of fun, while guests in the mood for pampering can indulge in spa services at the spa. Offering garden views, Shutters Restaurant serves breakfast, lunch, and dinner. Other highlights at this luxurious hotel include a fitness center, a children's pool, and a terrace. Public transportation is just a short walk: Imbiah Station is 6 minutes and Beach Station is 9 minutes. ",7.4/10 Good,"1 Larkhill Road, Sentosa Island, Singapore, 099394",https://images.trvl-media.com/lodging/2000000/1880000/1871300/1871226/94ddbf24.jpg?impolicy=resizecrop&rw=500&ra=fit
